fetched_at,source,published_at,title,one_liner_en,score,tags,url
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T05:30:00-04:00,Trump Tariffs Are Making International Stock Markets Great Again - Bloomberg.com,Trump Tariffs Are Making International Stock Markets Great Again - Bloomberg.com [tech / geopolitics],3.1,tech|geopolitics,https://news.google.com/rss/articles/CBMitgFBVV95cUxNMElrRGpPZk5rb1FDNUgtM20zbkRjeUhqOUZfYVhsMW1SY0xLazNhZzJJYVFaTGNVVGltLTdLa2hBVGdLQVd6OTJFd2xwcVJSdzlPajQyVFBoV3JjaXN2UTJhU0JCTHBlTEhSd2FOb1YtZ1hrQXMyU2hSZGowU0FXWnhvYkY1bGFRQXg4U0pGRkFGYXdxdVpfQlExbng3R3FJV2NxdWZxd3lmZjhSRWdmSFdVenZrZw?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T06:02:34-04:00,BofA’s Hartnett Says US Stocks Hit by Outflows as Rally Stalls - Bloomberg.com,BofA’s Hartnett Says US Stocks Hit by Outflows as Rally Stalls - Bloomberg.com,0.8,,https://news.google.com/rss/articles/CBMiswFBVV95cUxPNEdQNC1RZkpnMS1iVGpSbFBnZ21hUGp3a0RFY3FZbFZxbUxsZjNiRmtKU1NqaWhwX1MwRUJ4Ym1CYUYzNmdvRUs1d01OM1lJWnM0WkZfWmktUG1fcXFYaFJxcjhEd09zM01GVU8wM2lYZDJhVzRfWl8zaUo1V0NLbHBJdHpicEpwWUpSSVVtVGFhY3RkRVpFYWJ2cGgzUG9UM0JJRGxKTWVHdWZtSThUbEJRVQ?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T02:02:45-04:00,FTSE 100 Live: Stocks and Pound Steady in Wake of BOE Surprise - Bloomberg.com,FTSE 100 Live: Stocks and Pound Steady in Wake of BOE Surprise - Bloomberg.com,1.1,,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPQS14MGhuMndjTmJfdHJBaEs3cFVucTlmMF9QZkZHSzFQc1VIRUItTS1DdmVrQ3F0SzYyRUZqenE2U2hWTDNQTGxyM25NTE1ZLWxaS09lRVJoWG00VG1tSnlRTTR5ODlnOTlQUUVybUl4V0REWUlGeDBReW41eU9KZUpOZUR0VEtlTjIzZW8tZ19qc0U3QkFBcnIzTC1NMnI2MVYzSEx5aGR1UmJSOHRxdTZMTjkyVVEtXzB2U2pQdnNIUVZ5T3hZcTF0NzB4dWh6TnZ1OUpIV2ZoRTB1ZUg3SG9uMGo?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T06:55:12-04:00,"Gold Roiled by Tariffs, US Equity Futures Advance: Markets Wrap - Bloomberg.com","Gold Roiled by Tariffs, US Equity Futures Advance: Markets Wrap - Bloomberg.com [energy / geopolitics]",3.1,energy|geopolitics,https://news.google.com/rss/articles/CBMilAFBVV95cUxQMkRPNzQ4X1FIZE5aLXN6TE9DUWlyaXpOQWFQcTdQNDV2eWl6ZThuU2ZrNnhHaERrWjZwRHVURkJJNFdXNEl4OWdoV3dLRTFPTkhJUE9JT2EyOG9PWEF6bXJzdnRpM1hrbVR3RjctYTVvWTN2ajFxNXJPRXVjNkpjMEdteE05YVB0cWNsUXNUMFBvWGht?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T06:12:31-04:00,Russia’s Urals Touted to China Refiners as Oil Flows in Flux - Bloomberg.com,Russia’s Urals Touted to China Refiners as Oil Flows in Flux - Bloomberg.com [energy],1.6,energy,https://news.google.com/rss/articles/CBMitAFBVV95cUxPWkowZzk3V21hZW04ejNtSFYwajE5MVU2aGFScDY2U1pYMEZWSS1TUDRRT3Jpcm5SVG9SUExxSjM5TGk3WkhFR2lqcWFfcFBkUGx3V2liaWpQdUJobnNsZVVIcVFEVlF4UmNHMVdSd1ZIeVZsY1FZbGJ3NjBnc2F2alV3QVFCbFJLcXZPWXBfclhIVW0xZWloQ1hfYmFJcGp3bjA2bWszdGZHS2p5dzVOQm12S0Q?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T00:13:00-04:00,Indian Funds Cushion Market With Heaviest Buying Since April - Bloomberg.com,Indian Funds Cushion Market With Heaviest Buying Since April - Bloomberg.com,0.5,,https://news.google.com/rss/articles/CBMisAFBVV95cUxNLVFyUVpxUkpYTG1WMlpLWDg4ZzNmVjVoVnJoOVR6cTNnYWNXMWlHS1Z5YzlNU3ozSlY0SWlxbktwQmdaeExSTFBmUXhuMFFmWG1Ibm1sRzc5dVlmOTh5enZTQ0kxTmZ5aFdlUW9aNFY2QjItcFBFaE9nOWRzdGduR0lIWWRSMnZaZzIwamlBX2JnN3JjWHFIOTRhbl9zbGRRZzNzbld1NHIxVWx1MENvTA?oc=5
2025-08-08T08:31:25-04:00,bloomberg_via_gnews,2025-08-08T00:00:00-04:00,The Hottest New Credit Deals in Europe Are Anything to Do With Defense - Bloomberg.com,The Hottest New Credit Deals in Europe Are Anything to Do With Defense - Bloomberg.com [fx],1.5,fx,https://news.google.com/rss/articles/CBMioAFBVV95cUxPT044YWpWZWdCNUVFbzJRRUUybnlRQTBFODFuTU1oeDh6RlZmOFU0Xzg0OWpWVmdQamM0bGZRczlQX1pxdzRxUHQ1VkR4VDE0NGpQUEFxd1lTa3NqWDUtMWFPYjltNktFZWItOWdfcE1xcEtPTm53aWhEZUpCbzBmQlQtOURQN05XNmktU2JzM25zckhGT1JsSUdrTXJraGph?oc=5
2025-08-08T08:31:25-04:00,marketwatch_via_gnews,2025-08-08T06:56:00-04:00,"‘Stagflation is coming to the U.S.,’ says this economist. Here’s what it means for the dollar, bonds and stocks. - MarketWatch","‘Stagflation is coming to the U.S.,’ says this economist. Here’s what it means for the dollar, bonds and stocks. - MarketWatch [rates / fx]",3.0,rates|fx,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOVjF1ZE5sQkJCLUhCSEtQb2IxYnRFR2x2cFdZSG93dm9LbWIzSk9jTVI0UmdWVk9vRDFDMTI3WWxKQTBFZ0FlMWlmYkhieWpwZzQyQlVLdE1DdC12REU2c0dFd0E2WVdlUU9MazNvdVd6Q2d0N0prZ1MwQmdqVWdjTElEdTBJY0pRMzBQTnFwMXVnMU5sQjE3VUdUXzZJU3Fib0lzeXBoSWc0SDZhNzQ4RmNxS2d0UXVNeklqUUVPTlJVWTBlc3dwR2xET0hUcWpqZEpDSmxLZEtlUm5PX0ZnZw?oc=5
2025-08-08T08:31:25-04:00,barrons_via_gnews,2025-08-08T06:45:00-04:00,Trade Desk Stock Crashes 30% After Earnings. What’s Causing the Selloff. - Barron's,Trade Desk Stock Crashes 30% After Earnings. What’s Causing the Selloff. - Barron's [earnings / geopolitics],2.7,earnings|geopolitics,https://news.google.com/rss/articles/CBMifkFVX3lxTE5UTjhSbHJrTWVjSlZ1YlhNSnlhYktDYzRiY3F0QlBfOXlUWXhvejhacEN3RVB1RGtzSDhEUzV3a1RxUFhENUVNa0ZOZzVRSGYyY0V2S3dUU0FyV3RQUGRCb1ZubG9ZaFZ0VmJXY2V1c3NTYV9BcU5TekM5YVZodw?oc=5
2025-08-08T08:31:25-04:00,barrons_via_gnews,2025-08-08T04:55:00-04:00,"MP Materials Stock Soars Even Higher on Earnings. The Future Looks Bright, Too. - Barron's","MP Materials Stock Soars Even Higher on Earnings. The Future Looks Bright, Too. - Barron's [earnings]",1.8,earnings,https://news.google.com/rss/articles/CBMigAFBVV95cUxNVFhpX2FnZS1BTVZLemNUY2pNeXRjU1dUSjFoUWZweWt3aDBCUDhUVTNqREpheDFfNDZ6b2JNVmowZXZCY2FKR01oVm5LdWU0RnVkdTAtYnJKNWYyMkRCZ1piWkFXaThySzhwV3I5V01OaVVSMWl1QzFCRDVGZ1oxNA?oc=5
